dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,baseline,,0,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,1,147.7,0.6543443918228149,0.011255809742333263,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,2,147.5,0.6564562201499939,0.010618223410929545,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,3,147.5,0.6603460967540741,0.009180443294397614,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,4,147.4,0.6589116275310516,0.01002138598655704,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,5,147.4,0.6608628273010254,0.009654541640167201,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,6,147.3,0.6573788821697235,0.010193532744651262,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,7,147.1,0.6554009556770325,0.010895933784252214,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,8,147.1,0.6557464957237243,0.010238391418468568,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,9,147.0,0.651423591375351,0.011028168487904569,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conviction,10,146.7,0.6485363900661468,0.010843572365971771,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,1,147.7,0.655226182937622,0.011381610818279058,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,2,147.5,0.6560028374195099,0.0107916142477219,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,3,147.5,0.6575314462184906,0.010552910036336755,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,4,147.4,0.6562617182731628,0.010265672940251231,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,5,147.4,0.6599349617958069,0.009974325760465964,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,6,147.3,0.6581504821777344,0.009373102589661994,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,7,147.1,0.65624241232872,0.010462000624981456,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,8,147.1,0.6558113813400268,0.010525033819479928,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,9,147.0,0.6531885385513305,0.010280469929036033,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,confidence,10,146.7,0.6508821487426758,0.010956934003404405,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,1,147.7,0.6540233969688416,0.01096683652082018,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,2,147.5,0.6529745578765869,0.011172848830928901,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,3,147.5,0.6528208255767822,0.010293116051527712,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,4,147.4,0.6565633773803711,0.010085229392975197,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,5,147.4,0.6554448902606964,0.010149481625744517,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,6,147.3,0.6567593216896057,0.010612396796263624,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,7,147.1,0.6552707254886627,0.010815697386183801,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,8,147.1,0.6583018183708191,0.009932803259933079,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,9,147.0,0.657864898443222,0.009720646953381398,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,degree,10,146.7,0.6574872136116028,0.009290916338746137,10
