dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,baseline,,0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,1,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,2,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,3,12.0,0.8666666746139526,0.0077444770513859125,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,4,12.0,0.8666666746139526,0.0077444770513859125,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,5,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,6,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,7,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,8,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,9,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,conviction,10,12.0,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,1,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,2,12.0,0.8666666746139526,0.0077444770513859125,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,3,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,4,12.0,0.8666666746139526,0.007231014829619776,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,5,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,6,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,7,12.0,0.8705882430076599,0.007440652874545747,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,8,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,9,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,confidence,10,12.0,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,1,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,2,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,3,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,4,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,5,12.0,0.8705882430076599,0.007440652874545747,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,6,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,7,12.0,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,8,12.0,0.8666666746139526,0.0077444770513859125,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,9,12.0,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,avg,masking,mean,acc,degree,10,12.0,0.864705890417099,0.007568728594209293,10
