dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,baseline,,0,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,1,1360.0,0.867879980802536,0.002039951508948371,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,2,1360.0,0.8656298160552979,0.001807461436481434,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,3,1360.0,0.8632693588733673,0.001899967889703647,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,4,1360.0,0.8612839162349701,0.0016826230208670512,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,5,1360.0,0.8586807906627655,0.0018630857692735223,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,6,1360.0,0.8544451773166657,0.0021053122556480746,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,7,1360.0,0.8506949126720429,0.002125783446899564,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,8,1359.0,0.8491727352142334,0.0023400836973607834,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,9,1359.0,0.8433046579360962,0.002681238764025892,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conviction,10,1359.0,0.8365541577339173,0.0028250203714411453,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,1,1360.0,0.8556143879890442,0.001970245091490889,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,2,1360.0,0.8531436145305633,0.0021240126178065062,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,3,1360.0,0.8522170722484589,0.0019514323998306759,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,4,1360.0,0.8543789923191071,0.002048286601307918,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,5,1360.0,0.8558791100978851,0.0021814344087170067,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,6,1360.0,0.857842481136322,0.0024933606799407548,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,7,1360.0,0.8567835927009583,0.002278704204365886,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,8,1359.0,0.8531656742095948,0.0019260170805888352,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,9,1359.0,0.8568718254566192,0.0023337826036720173,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,confidence,10,1359.0,0.8552393436431884,0.0028489249415039894,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,1,1360.0,0.8606882870197297,0.001838642998693112,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,2,1360.0,0.859188175201416,0.001952580681816426,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,3,1360.0,0.8598941087722778,0.001969553186422578,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,4,1360.0,0.8604014992713929,0.001919589064453034,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,5,1360.0,0.8578866064548493,0.0020677610240291315,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,6,1360.0,0.8569159507751465,0.001962314800017176,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,7,1360.0,0.8571365654468537,0.0023905214667275477,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,8,1359.0,0.8560114741325379,0.0022100202039745105,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,9,1359.0,0.8489521324634552,0.0026461588968582587,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,degree,10,1359.0,0.8321861863136292,0.002077680367267723,10
