dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,baseline,,0,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,1,120.0,0.8285714209079742,0.005816249084158302,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,2,120.0,0.8275653898715973,0.006169225781314944,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,3,119.0,0.8287726283073426,0.006178408271940448,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,4,119.0,0.8275653958320618,0.006900263225913042,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,5,119.0,0.8273641884326934,0.006524824726507828,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,6,119.0,0.8279678046703338,0.0061967261428045985,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,7,119.0,0.8291750490665436,0.006132366771776985,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,8,119.0,0.8293762505054474,0.005994492252520723,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,9,119.0,0.8279677987098694,0.00547527953793574,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conviction,10,119.0,0.8185110747814178,0.0061872414943400945,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,1,120.0,0.8293762445449829,0.0058509506483305955,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,2,120.0,0.8283702194690704,0.00604995128798209,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,3,119.0,0.8279678046703338,0.006484057778400038,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,4,119.0,0.8279678106307984,0.006319635873304402,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,5,119.0,0.827364182472229,0.006348718957015444,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,6,119.0,0.8293762505054474,0.0061148492372967754,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,7,119.0,0.8275653958320618,0.006156085344099025,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,8,119.0,0.8291750431060791,0.006085980792344965,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,9,119.0,0.8285714209079742,0.005434832357025835,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,confidence,10,119.0,0.8183098673820496,0.006043251504220939,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,1,120.0,0.8287726283073426,0.005665692238312891,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,2,120.0,0.8289738357067108,0.005824595739740379,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,3,119.0,0.8289738476276398,0.006569346235852476,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,4,119.0,0.828772634267807,0.006072660345098864,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,5,119.0,0.8293762505054474,0.0060482799575647,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,6,119.0,0.8265593528747559,0.006355092127846325,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,7,119.0,0.8267605662345886,0.006978439328189821,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,8,119.0,0.8257545232772827,0.006788769893660087,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,9,119.0,0.8263581395149231,0.005384316869290264,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,degree,10,119.0,0.8213279664516449,0.0061675830392697055,10
