dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,baseline,,0,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,1,947.0,0.8907454431056976,0.0013656183783228467,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,2,947.0,0.8907961487770081,0.0014405796368165047,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,3,947.0,0.8907707929611206,0.0013173835398201422,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,4,946.0,0.8912271797657013,0.0015162200709526038,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,5,946.0,0.8903397440910339,0.0014720065127698388,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,6,946.0,0.8905426025390625,0.0013592938505386123,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,7,946.0,0.8904411733150482,0.0013981813147658207,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,8,946.0,0.8905425906181336,0.0015826259703394365,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,9,946.0,0.891125762462616,0.0015022462150516835,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,conviction,10,946.0,0.8897819459438324,0.001411272573621187,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,1,947.0,0.8904411733150482,0.0012945665958149152,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,2,947.0,0.8910750448703766,0.0013263350767775653,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,3,947.0,0.8906186580657959,0.0014035735791772003,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,4,946.0,0.8902129769325257,0.0013559586147434042,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,5,946.0,0.891075050830841,0.0016322779348973988,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,6,946.0,0.890542596578598,0.00142351996335141,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,7,946.0,0.8902636885643005,0.001310537240821964,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,8,946.0,0.8904411792755127,0.0016217084569636099,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,9,946.0,0.890897560119629,0.001352659311516435,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,confidence,10,946.0,0.8907961428165436,0.0014016734971647586,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,1,947.0,0.8909989833831787,0.0013926534389454134,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,2,947.0,0.8908215045928956,0.001365502391597769,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,3,947.0,0.8908215045928956,0.0013994446008663772,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,4,946.0,0.891125762462616,0.001461903953852343,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,5,946.0,0.8907961487770081,0.0013607122253082697,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,6,946.0,0.8902890503406524,0.0013813448572446217,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,7,946.0,0.8905426025390625,0.0014710494100553294,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,8,946.0,0.8907200872898102,0.0014221395544560163,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,9,946.0,0.890263682603836,0.0013129878499120802,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,degree,10,946.0,0.8907454371452331,0.0014041484021558351,10
